#{"t_start": 1653172122.7907124, "env_id": "PointToPoint-v0"}
r,l,t
-10066.826247,8001,29.914475
-4667.43681,8001,58.732262
-7923.630219,8001,92.448326
-8983.60257,8001,124.623936
-7682.537587,8001,152.335025
-8734.812391,8001,179.708861
-9395.472344,8001,207.602236
-5198.558399,8001,235.410354
-5345.277834,8001,263.783982
-5506.563366,8001,291.59835
-4662.024169,8001,315.105209
-7744.736777,8001,343.851499
-5858.842343,8001,372.835186
-10697.199058,8001,400.620407
-10261.516901,8001,429.65397
-11091.522265,8001,469.738168
-4887.38872,8001,504.739675
-8956.764046,8001,532.940552
-8223.315779,8001,568.419831
-5500.035144,8001,604.331706
-7986.47911,8001,633.365397
-4753.772655,8001,656.19734
-3430.311862,8001,681.793958
-8425.606747,8001,709.946661
-8968.348397,8001,740.341911
-10439.297014,8001,772.151817
-9627.942539,8001,809.633127
-8112.630982,8001,838.331092
-8664.704523,8001,877.642344
-8430.16516,8001,915.181172
-8382.475293,8001,942.017341
-8281.173159,8001,975.247296
-8271.131794,8001,1004.123558
-7470.059231,8001,1034.494197
-6513.938248,8001,1062.976015
-3912.889763,8001,1093.778706
-6526.103685,8001,1148.383552
-7178.050474,8001,1209.704494
-5999.605999,8001,1396.425458
-4857.751603,8001,1596.477226
-8991.460364,8001,1800.623711
-3989.738842,8001,1965.310591
-8960.915964,8001,2091.346933
-5850.080564,8001,2321.281291
-3861.431548,8001,2504.425385
-9321.131685,8001,2733.981643
-10303.753626,8001,3010.341276
-7960.420521,8001,3165.064843
-9840.409896,8001,3368.981393
-11192.81223,8001,3560.084596
-3241.109136,8001,3910.399186
-11338.094279,8001,4120.054258
-11239.826592,8001,4409.895541
-11162.093094,8001,4501.739866
-11201.405677,8001,4669.119295
-5262.600262,8001,4922.33908
-3247.926816,8001,5160.326011
-2243.266832,8001,5372.831599
-2050.394628,8001,5610.82987
-1856.287484,8001,5794.032463
-1703.034336,8001,6010.547076
-7707.543104,8001,6218.791486
-2690.563345,8001,6429.211579
-3342.280881,8001,6619.630292
-7055.016921,8001,6818.013638
-1715.111091,8001,7058.941997
-2055.310358,8001,7300.848592
-2810.435483,8001,7531.645063
-2670.210695,8001,7776.845418
-11405.683686,8001,8011.616006
-5734.191249,8001,8270.140708
-5073.486438,8001,8482.650149
-11363.597524,8001,8669.460055
-4190.923539,8001,8872.68109
-6697.902133,8001,9138.96727
-4023.379272,8001,9397.642662
-4969.452277,8001,9648.483507
-10932.167414,8001,9923.709037
-4842.980611,8001,10127.943494
-4862.321473,8001,10339.081655
-5585.724107,8001,10537.885624
-5225.614223,8001,10770.928808
-5104.498473,8001,10991.127047
-5057.003685,8001,11297.326043
-5467.453467,8001,11483.717313
-5177.421422,8001,11625.907261
-6002.353545,8001,11843.709531
-6172.01356,8001,12074.185809
-4720.831888,8001,12300.907011
-4890.700909,8001,12516.919151
-4275.783166,8001,12780.905246
-3280.699266,8001,13018.142329
-3098.858504,8001,13229.169463
-1912.53923,8001,13527.855141
-7112.183393,8001,13746.719337
-4187.605921,8001,13973.921323
-3482.998522,8001,14139.315769
-3726.324798,8001,14470.242873
-3943.9839,8001,14674.694554
-3937.891261,8001,14856.089489
-3697.430863,8001,15075.199861
-4792.981172,8001,15397.020595
-4559.178242,8001,15645.327622
-4987.794353,8001,15875.817515
-2871.013523,8001,16218.496007
-1777.285361,8001,16572.143298
-1377.186955,8001,16904.99779
-2298.12943,8001,17114.946195
-4081.424684,8001,17279.303389
-2464.865722,8001,17648.027781
-3998.352498,8001,17877.981897
-5078.131078,8001,18104.71053
-3137.853033,8001,18346.035284
-2665.287478,8001,18579.788706
-1868.754533,8001,18806.458876
-7106.642194,8001,18967.029457
-2878.282959,8001,19190.661858
-7029.761008,8001,19437.000444
-3303.163251,8001,19705.491965
-2499.372174,8001,19875.033072
-7025.975783,8001,20240.694281
-2262.447184,8001,20621.58274
-1611.533471,8001,20925.197522
-3153.187805,8001,21146.843757
-1407.271065,8001,21441.610002
-889.187858,8001,21668.963444
-1547.975456,8001,21943.18259
-1529.541501,8001,22156.63325
-1524.296804,8001,22312.481473
-1510.621486,8001,22533.425765
