#{"t_start": 1653835750.6510284, "env_id": "PointToRandomPoint-v0"}
r,l,t
-11230.960846,8001,83.457484
-6488.09606,8001,112.587475
-6780.217612,8001,143.805876
-12252.743645,8001,177.492043
-13787.441791,8001,207.43575
-6975.728614,8001,239.625076
-6844.9406,8001,272.203255
-3647.307163,8001,303.251755
-11058.30798,8001,333.632952
-10998.337909,8001,364.492402
-9734.409434,8001,390.264178
-8489.807817,8001,418.985372
-9065.300271,8001,449.093289
-6368.106098,8001,478.659492
-7217.950786,8001,512.387616
-6774.38331,8001,544.616177
-5072.124065,8001,572.612615
-5023.894605,8001,605.156884
-6302.885667,8001,632.455431
-8848.804401,8001,661.342974
