#{"t_start": 1653173331.7209973, "env_id": "PointToPoint-v0"}
r,l,t
-5868.75116,8001,127.263323
-9417.111542,8001,329.155915
-5071.976495,8001,484.819451
-4432.20032,8001,704.335109
-9039.778353,8001,863.746659
-9991.0576,8001,1077.975849
-8982.679927,8001,1232.479381
-10120.55329,8001,1443.080483
-11182.453452,8001,1691.67397
-7310.351053,8001,1859.173553
-7035.56046,8001,1983.764198
-10858.924537,8001,2211.508884
-7049.886943,8001,2380.420612
-8690.166249,8001,2703.819234
-11429.265474,8001,2905.121977
-11445.92491,8001,3184.0329
-11209.329906,8001,3282.657252
-9944.86513,8001,3376.460347
-6495.353348,8001,3612.357093
-8657.868893,8001,3842.324849
-8880.7422,8001,4004.562182
-9880.965742,8001,4133.383296
-9681.904249,8001,4324.584316
-8161.662928,8001,4510.093783
-8045.433522,8001,4657.030775
-7669.867386,8001,4816.524062
-8014.699033,8001,5012.191013
-7232.361116,8001,5172.704317
-7473.586427,8001,5364.686294
-7397.075632,8001,5519.894429
-7456.262779,8001,5794.792153
-7372.62036,8001,5948.301535
-8633.447733,8001,6105.640686
-8309.212719,8001,6276.058586
-8635.468956,8001,6498.269287
-9018.789825,8001,6694.612635
-6251.420871,8001,6875.195703
-5089.99871,8001,7183.504714
-10151.00191,8001,7300.585527
-10695.546755,8001,7454.897335
-10445.312402,8001,7611.224655
-9845.090719,8001,7838.713364
-8273.838142,8001,7991.35309
-8672.091671,8001,8272.558156
-7308.632154,8001,8485.903558
-5085.238984,8001,8734.040036
-4800.943198,8001,8907.110819
-4856.995966,8001,9104.665766
-4949.167782,8001,9255.16055
-5256.075175,8001,9422.436571
-5201.81578,8001,9605.821774
-4557.274339,8001,9793.811346
-4226.723098,8001,10077.680172
-4544.478658,8001,10210.657486
-4490.339982,8001,10350.20208
-6470.178389,8001,10501.707435
-5002.119256,8001,10756.489911
-4764.615918,8001,10914.65158
-5264.601832,8001,11152.436449
-5046.561663,8001,11369.707905
-4600.966692,8001,11585.501257
-5000.778084,8001,11823.899558
-4772.241738,8001,12045.144021
-5010.791302,8001,12349.826808
-4704.468956,8001,12489.467696
-10159.747322,8001,12708.508002
-4718.907735,8001,12901.099653
-4962.449113,8001,13201.13306
-5574.161595,8001,13417.153499
-5524.228694,8001,13569.421222
-5178.327259,8001,13800.199109
-4514.635154,8001,14079.12169
-4361.259578,8001,14344.823063
-5138.614362,8001,14585.719212
-5227.65432,8001,14842.440082
-4833.185227,8001,15081.326143
-4488.849695,8001,15427.017431
-5060.321586,8001,15759.2905
-4815.826611,8001,15955.42236
-5007.846519,8001,16178.45946
